1	What are the effects of calcium on the physical properties of mucus from CF patients
2	Can one distinguish between the effects of mucus hypersecretion and infection on the submucosal glands of the respiratory tract in CF
3	How are salivary glycoproteins from CF patients different from those of normal subjects
4	What is the lipid composition of CF respiratory secretions
5	Is CF mucus abnormal
6	What is the effect of water or other therapeutic agents on the physical properties viscosity elasticity of sputum or bronchial secretions from CF patients
7	Are mucus glycoproteins degraded differently in CF patients as compared to those from normal subjects
8	What histochemical differences have been described between normal and CF respiratory epithelia
9	What is the association between liver disease cirrhosis and vitamin A metabolism in CF
10	What is the role of Vitamin E in the therapy of patients with CF
11	What is the difference between meconium ileus and meconium plug syndrome
12	What abnormalities of amino acid transport have been described in the small bowel of CF patients
13	What are the clinical or biochemical features of pancreatitis in CF patients
14	What non-invasive tests can be performed for the evaluation of exocrine pancreatic function in patients with CF
15	What are the hepatic complications or manifestations of CF
16	What are the gastrointestinal complications of CF after the neonatal period exclude liver disease and meconium ileus
17	What is the most effective regimen for the use of pancreatic enzyme supplements in the treatment of CF patients
18	Is dietary supplementation with bile salts of therapeutic benefit to CF patients
19	What complications of pancreatic enzyme therapy have been reported in CF patients
20	What is the effect of treatment of CF patients with essential fatty acid supplements?
